ID,Region,Cell Count
1,Antwerp,23
2,Brussels,1
3,East Flanders,20
4,Flemish Brabant,13
5,Hainaut,30
6,Liege,26
7,Limburg,16
8,Luxembourg,32
9,Namur,24
10,Walloon Brabant,6
11,West Flanders,24
