ID,Region,Cell Count
1,Abruzzo,3
2,Basilicata,3
3,Calabria,5
4,Campania,6
5,Emilia-Romagna,8
6,Friuli Venezia Giulia,4
7,Lazio,9
8,Liguria,3
9,Lombardia,9
10,Marche,5
11,Molise,1
12,"P.A. Bolzano, P.A. Trento",6
13,Piemonte,11
14,Puglia,11
15,Sardegna,10
16,Sicilia,11
17,Toscana,9
18,Umbria,3
19,Valle d'Aosta,1
20,Veneto,6
