ID,Region,Cell Count
1,Anhui,3
2,"Beijing, Hebei, Tianjin",6
3,Chongqing,2
4,Fujian,3
5,Gansu,12
6,"Guangdong, Hong Kong, Macau",5
7,Guangxi,6
8,Guizhou,4
9,Hainan,1
10,Heilongjiang,12
11,Henan,4
12,Hubei,5
13,Hunan,5
14,Inner Mongolia,33
15,Jiangsu,2
16,Jiangxi,4
17,Jilin,5
18,Liaoning,4
19,Ningxia,1
20,Qinghai,20
21,Shaanxi,5
22,Shandong,4
23,"Shanghai, Zhejiang",3
24,Shanxi,4
25,Sichuan,13
26,Tibet,34
27,Xinjiang,47
28,Yunnan,11
