ID,Region,Cell Count
1,Johor,18
2,Kedah,9
3,Kelantan,13
4,Melaka,2
5,Negeri Sembilan,5
6,Pahang,26
7,Perak,17
8,Perlis,4
9,Pulau Pinang,2
10,"Sabah, W.P. Labuan",28
11,Sarawak,41
12,"Selangor, W.P. Kuala Lumpur",6
13,Terengganu,13
14,W.P. Putrajaya,1
,,
